動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
取る,とる,,"セット車速 [1]
セット車速 [2]",,"
","
",,"
",,,"[1] 　・セット車速の取り得る範囲内の車速で走行している　　もしくは、全車速ACC時に先行車がいる　・異常が発生していない　・メインSW　ONであり、ドライバからみて制御中でない
[2] 　・セット車速の取り得る範囲内の車速で走行している　　もしくは、全車速ACC時に先行車がいる　・異常が発生していない　・メインSW　ONであり、ドライバからみて制御中でない","
","ニ,カラ [1]
ニ,カラ [2]",,,
長くする,ながくする,,,,目標車間距離,,,,,,車間距離を「短→長」に設定されたときは、一気に目標車間距離を長くする。,,"ニ,カラ",,,
継続する,けいぞくする,,"加速状態 [1]
状態 [2]
加速状態 [3]
操作 [4]
操作 [5]
",,"




","




",,"




",,,"[1] 制御中に加速状態が継続し、異常だと判定した場合、目標駆動力が小さくなるように制限し、制限した値に基づいて制御を行う。
[2] ドライバが、セット車速の調整やアクセルペダルの操作をしていないにもかかわらず、エンジン/HV制御システムに要求する駆動力が上限値を超えている状態が一定時間以上継続した場合、加速状態が継続していると判定する。
[3] ドライバが、セット車速の調整やアクセルペダルの操作をしていないにもかかわらず、エンジン/HV制御システムに要求する駆動力が上限値を超えている状態が一定時間以上継続した場合、加速状態が継続していると判定する。
[4] 車間制御モードで走行中、アクセル操作・コースト操作を受け付けた場合、操作が継続している間はセット車速を連続的に増加または減少させて、メータ表示に反映する。
[5] ACC-15CY-NA-FR-FR0235-S01を参照車間制御モードで走行中、アクセル操作・コースト操作を受け付けた場合、操作が継続している間はセット車速を連続的に増加または減少させて、メータ表示に反映する。
[6] 定速制御モードまたはCCSのアクセル操作・コースト操作が継続している間は、自車の車速が連続的に増加、または減少するように、目標加速度を決定する。","




","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]",,,
戻る,もどる,,,自動詞,,,F,状態,,,(5)異常時のフェールセーフ状態を確実に保持し、容易に危険な状態に戻らないようにする。,,カラ,,,
故障する,こしょうする,,"
他システム [2]
部品 [3]",,"

","

",,"

",,,"[1] クルーズシステムが故障した場合は、ダイアグ通知し、クルーズシステムの利用を禁止する
[2] 他システムが故障した場合は、状態が治った段階でダイアグを解除し、クルーズシステムを利用できる状態にする
[3] (1)一つの部品が故障しただけでは危険な状態にはなりにくい構造とする。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
応じる,おうじる,,"














目標車間距離 [16]
フェールセーフ処置 [17]",,"
最高速度 [2]







上限加減速度 [10]






","















",F,"開発担当 [1]

状況 [3]
状況 [4]


現車速 [7]



カーブR [11]
タップダウン操作 [12]
タップアップ操作 [13]
アクセル操作 [14]
アクセル操作 [15]
設定 [16]
",,T,"[1] 開発担当に応じた、本書の対象読者と活用方法を表　12に示す。
[2] シフトダウン後に、ギア段に応じた最高速度以下で走行している場合は、シフトアップをしない
[3] 先行車以外の周辺の車両も認識し、状況に応じて加減速を行う
[4] 同上先行車以外の周辺の車両も認識し、状況に応じて加減速を行う
[5] 先行車がいるときに車間距離が目標車間距離より開いている場合、車間距離と目標車間距離の差に応じて加速する。
[6] 先行車がいるときに車間距離が目標車間距離を割り込んでいる場合、車間距離と目標車間距離の差に応じて、速やかに減速する。
[7] 先行車の減速が大きいとき、車間距離、速度差、現車速に応じて大きく減速する。
[8] 走行中にカーブにさしかかったらカーブの大きさに応じて不快感なく曲がることができる加速度で走行する。
[9] センサにより、カーブ走行中であることを検出した場合、カーブRの大きさに応じて加速度の最大値を制限する。
[10] ＜カーブRの大きさに応じた上限加減速度の算出＞
[11] カーブ走行（直線ではない道路）となった場合、車線を逸脱しないようにカーブRに応じた加速の抑制を行う。
[12] タップダウン操作・タップアップ操作に応じて、現在のセット車速から、一定値ずつ増加または減少させた値でセット車速を更新する。
[13] タップアップ操作・タップダウン操作に応じて、現在のセット車速から一定値増加または減少させた値でセット車速を更新する。
[14] セット車速の調整操作が行われている間、アクセル操作・コースト操作に応じて、セット車速を現在の値から連続的に増加または減少させて更新する。
[15] アクセル操作・コースト操作に応じて、セット車速を現在の値から一定値ずつ連続的に増加または減少させて更新する。
[16] 車間距離を長に設定された場合は、ただちに設定に応じた目標車間距離に変更する。
[17] ダイアグ検出後には、クルーズシステムの作動を止めるなど異常に応じた適切なフェールセーフ処置を実施すること","















","カラ [1]
ニ,カラ [2]
カラ [3]
カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
カラ [11]
カラ [12]
カラ [13]
カラ [14]
カラ [15]
カラ [16]
ニ [17]",,,
戻せる,もどせる,,,,学習値,,T,,,ー,クルーズSWによってミリ波レーダー内にある軸調整の学習値を初期値に戻せること,,"ニ,カラ",,,
追随する,ついずいする,,"ACCシステム [1]

",,"

本車 [3]","

",,"それ [1]
前車 [2]
前車 [3]",,F,"[1] 前方に複数台の車両が存在している場合、ACCシステムは自動的に本車線内の最も近い前車を選択し、それに追随すること(5.2.5.3を参照)。
[2] カーブ適応能力(タイプⅡ、Ⅲ、Ⅳ)ACCシステムは、直線道とカーブで、車間時間ギャップTmax　(Vcircle)　で安定的に前車に追随して車両を走行させることができること。
[3] 従って、前車が、半径Rminのカーブに沿って、定常速度Vcircleで走行するならば、ACCシステムは、安定した車間時間ギャップTmax(Vcircle)で前車に本車を追随させることができること。","

","カラ [1]

デ,カラ [3]",,,
従う,したがう,,"




目標車間距離変更 [6]

",自動詞,"






","






",F,"管理ルール [1]
ルール [2]
以下 [3]
表紙 [4]
アクセルペダル踏 [5]
＜目標車間距離設定 [6]
サービスダイアグ設計指針(wguide-a01-01-a) [7]
",,T,"[1] 文書命名規則及び、文章番号付与規則及び、ファイルバージョン付与規則はシステム部署が定める管理ルールに従うこと。
[2] 変更時は、履歴及び変更点が分かるようにすること、また変更点の記載方法については、発行元であるシステム部署のルールに従うこと。
[3] 変更時のメジャー/マイナー変更区分については、以下に従うこと。
[4] 本書の保管期限については、表紙に記載の保管期限に従うこと。
[5] エンジン/HV制御システムでアクセルペダル踏下に従って駆動力を出している場合は、制御用の駆動力よりも大きい値になる。
[6] ＜目標車間距離設定に従った目標車間距離変更＞
[7] サービスダイアグ設計指針(wguide-a01-01-a)に従うこと
[8] 概要安定状態において、ACCシステムは、5.2.2に規定した車間時間ギャップの最小値に従うこと。","






","カラ [1]
カラ [2]


カラ [5]


ニ [8]",,,
外れる,はずれる,,"自車速 [1]
参照(ACC-15CY-NA-FR-FR0021)自車速 [2]

参照(ACC-15CY-NA-FR-FR0021)自車速 [4]
",自動詞,"
ACC-15CY-NA-FR-FR0021 [2]
自車線 [3]
ACC-15CY-NA-FR-FR0021 [4]
","



",T,"



",,F,"[1] 自車速がセット車速より外れたら、自車速をセット車速に近づけるために加減速を行う。
[2] ACC-15CY-NA-FR-FR0021を参照(ACC-15CY-NA-FR-FR0021)自車速がセット車速より外れたら、自車速をセット車速に近づけるために加減速を行う。
[3] 先行車が自車線を外れながら加速していく場合は、先行車に追従せず、自車速がセット車速になるように走行・もしくは車線変更した先行車の更に前方にいる車両に追従走行する
[4] ACC-15CY-NA-FR-FR0021を参照(ACC-15CY-NA-FR-FR0021)自車速がセット車速より外れたら、自車速をセット車速に近づけるために加減速を行う。
[5] (ア)運転者の意志により装置が作動するようにスイッチを操作した場合であって、作動条件から外れているため、装置が作動しない場合(イ)装置の作動中、運転者の意志により装置の作動が解除された場合(主スイッチによる解除を除く。","



","ニ,カラ,ヨリ [1]
ニ,ヨリ [2]
ニ [3]
ニ,ヨリ [4]
ニ,カラ [5]",,,
